Nombre;Ventas anual;rama
ETINAR S.A.;22559322.95;Construcción
TONGLING NONFERROUS METALS GROUP TONGGUAN CONSTRUCTION AND INSTALLATION CO., LTD.;22276492.77;Construcción
SYNLAB S.A.S.;22053979.72;Actividades de atención a salud
MKP-ECUADOR S.A.S.;21999593.66;Actividades profesionales
ECUAESTIBAS S.A.;21920491.32;Transporte y almacenamiento
CELI & CELI CIA. LTDA.;21863280.1;Construcción
LANDCO CONSTRUCTORS S.A.;21754620.15;Construcción
DELIVERY HERO (DH E-COMMERCE) ECUADOR S.A.S.;21743884.7;Información y comunicación
CASSCARSONE CIA.LTDA.;21733972.48;Actividades inmobiliarias
SERVICE OIL ECUADOR ECUASERVOIL S.A.;21595230.36;Actividades de servicios administrativos y de apoyo
AEROTRANSPORTES MAS DE CARGA SOCIEDAD ANONIMA DE CAPITAL VARIABLE;21482591.2;Transporte y almacenamiento
ISLAS GALAPAGOS TURISMO Y VAPORES CA;21466480.31;Transporte y almacenamiento
ELVAYKA KYOEI S.A.;21329789.97;Actividades inmobiliarias
HAPAG-LLOYD ECUADOR S.A.;21250577.94;Transporte y almacenamiento
CIERPRONTI S.A.;21230422.59;Actividades de servicios administrativos y de apoyo
EMINENS CIA. LTDA.;21209372.65;Actividades profesionales
RECICLADORA DE PLASTICOS RECIPLASTICOS S.A.;21204072.73;Distribución de Agua Alcantarillado y gestión de desechos
ESTRUCTURAS DE HIERRO EDEHSA SA;21007608.4;Construcción
SIMEUSFQ, SISTEMAS MEDICOS DE LA UNIVERSIDAD SAN FRANCISCO DE QUITO S.A.;20957901.63;Actividades de atención a salud
PEREZ, BUSTAMANTE & PONCE ABOGADOS CIA. LTDA.;20803695.68;Actividades profesionales
SEVILLA Y MARTINEZ INGENIEROS CA SEMAICA;20762630.58;Construcción
MINERA BELORO C. L.;20662084.23;Minas y canteras
CORPORACION ECUATORIANA DE TELEVISION C.LTDA.;20642200.71;Información y comunicación
INVESTIGACION, VIGILANCIA E INSTRUCCION, INVIN CIA. LTDA.;20598597.78;Actividades de servicios administrativos y de apoyo
SUPER PUNTOS S.A. (SPSA);20491845.38;Actividades profesionales
INSTITUTO ECUATORIANO DE ENFERMEDADES DIGESTIVAS GASTROCLINICA S.A.;20459491.3;Actividades de atención a salud
DEGELI S.A.;20376043.77;Financieras y seguros
ARKITRUST S.A.;20279449.86;Construcción
COBISCORP ECUADOR S.A.;20040985.78;Información y comunicación
INTERPUBLIC COLOMBIA S.A.S.;19969024.27;Actividades profesionales
PUBLIPROMUEVE S.A.;19856852.8;Financieras y seguros
SERSUPPORT CIA. LTDA.;19716514.13;Transporte y almacenamiento
SEDEMI SOLUCIONES PARA PROYECTOS DE INFRAESTRUCTURA SEDEMI-SOLUTIONS S.A.;19383858.48;Actividades profesionales
HOSPITAL DEL RIO HOSPIRIO S.A.;19119023.53;Actividades de atención a salud
AGRICOLA MINERA AGRIMROC S.A.;19098074.32;Minas y canteras
PAPIZZEC S.A.;19097600.57;Actividades de Alojamiento
JARA SEGURIDAD JARASEG CIA. LTDA.;19007858.05;Actividades de servicios administrativos y de apoyo
BGP ECUADOR CO S.A.;18824195.06;Minas y canteras
EQUINOXAIR S.A.S.;18824195.06;Transporte y almacenamiento
CLINICA DE ESPECIALIDADES MEDICAS SANTA INES SA;18677878.07;Actividades de atención a salud
G4S SECURE SOLUTIONS (ECUADOR) CIA. LTDA.;18516057.4;Actividades de servicios administrativos y de apoyo
SERVICIOS DENTALES SERVIDENT S.A.;18496305.08;Actividades de atención a salud
URBANO EXPRESS S.A. RAPIEXX;18328838.01;Transporte y almacenamiento
CHINA CIVIL ENGINEERING CONSTRUCTION CORPORATION;18323614.39;Distribución de Agua Alcantarillado y gestión de desechos
PECKSAMBIENTE S.A.;18274061.28;Minas y canteras
PROMOTORA ECUATORIANA DE CAFE DE COLOMBIA S.A. PROCAFECOL ECUADOR;18179215.12;Actividades de Alojamiento
FORTIUS S.A.;18165075.01;Actividades de servicios administrativos y de apoyo
EXTERNALIZACION DE SERVICIOS S.A. EXSERSA;17938650.84;Financieras y seguros
JARDINES DE ESPERANZA JARDIESA S.A.;17799214.52;Otras actividades de servicios
ORIENFLUVIAL S.A.;17788111.32;Actividades profesionales
LAARCOURIER EXPRESS S.A.;17746885.61;Transporte y almacenamiento
ZC MAYORISTAS S.A.;17667940.53;Actividades de servicios administrativos y de apoyo
PLAN AUTOMOTOR ECUATORIANO S.A. PLANAUTOMOTOR;17563846.36;Actividades profesionales
MAFRICO S.A.;17563799.01;Transporte y almacenamiento
LICOSA LICITACIONES Y CONTRATOS SA;17504205.97;Construcción
CONSTRUCTORA VILLACRECES ANDRADE CVA S.A.;17388655.35;Construcción
TECNISEGUROS S.A. AGENCIA ASESORA PRODUCTORA DE SEGUROS;17307257.66;Financieras y seguros
ASISKEN ASISTENCIA MEDICA S.A.;17249052.11;Financieras y seguros
GRUASATLAS CIA. LTDA.;17227143.62;Transporte y almacenamiento
AUDIOAUTO S.A.S.;17159356.37;Actividades de servicios administrativos y de apoyo
FUROIANI OBRAS Y PROYECTOS S.A.;17143432.75;Construcción
METROHOTEL CIA. LTDA.;17112650.39;Actividades de servicios administrativos y de apoyo
GELD-HOLDINGS S.A.;17007725.45;Financieras y seguros
C. STEINWEG (ECUADOR) S.A.;16943510.18;Transporte y almacenamiento
SAVERCORP S.A.;16903285.87;Actividades de atención a salud
CAMPOSANTOS DEL ECUADOR S.A. CAMPOECUADOR;16848013.03;Otras actividades de servicios
AFP GENESIS ADMINISTRADORA DE FONDOS Y FIDEICOMISOS S.A.;16693113;Financieras y seguros
CALIZAS HUAYCO S.A.;16677602.41;Minas y canteras
NOVOMETECUADOR S.A.;16587123.46;Minas y canteras
OCEANADVENTURES S.A.;16561669.19;Actividades de servicios administrativos y de apoyo
ASADERO LA ESQUINA DE ALES CIA.LTDA;16491106.21;Actividades de Alojamiento
VUMILATINA MEDICINA PREPAGADA S.A.;16470627.26;Financieras y seguros
SALELGI S.A.;16437356.34;Actividades inmobiliarias
LA PROVENZANA BRANDS DEL ECUADOR S.A.;16409172.3;Actividades de Alojamiento
INVESTEAM S.A.;16234492.03;Construcción
ORION ENERGY OCANOPB S.A.;16194289.97;Minas y canteras
HOTEL COLON GUAYAQUIL S.A.;16142975;Actividades de Alojamiento
HOLDING NALON S.A.S.;16022003.91;Actividades inmobiliarias
CONSUR R7H S.A.;15842386.2;Construcción
MCKINSEY & COMPANY, INC. ECUADOR;15830522.19;Actividades profesionales
CENTRO COMERCIAL EL CONDADO SA;15744382.13;Actividades inmobiliarias
PROMOTORES INMOBILIARIOS PRONOBIS S.A.;15660492.89;Actividades inmobiliarias
CORPORACION CFC S.A.;15516617.54;Actividades de servicios administrativos y de apoyo
COMPAÑIA DE SEGURIDAD INTEGRAL INSEVIG CIA. LTDA.;15359716.49;Actividades de servicios administrativos y de apoyo
PETREX S.A.;15102177.36;Minas y canteras
DISTRIPETROL S.A.;15079098.3;Suministro de Electricidad Gas Vapor y Aire acondicionado
A.E.S.M. ASESORES ESPECIALISTAS EN SEGURIDAD Y MONITOREO CIA.LTDA.;15077471.44;Actividades de servicios administrativos y de apoyo
ASISTANET S.A.;14909774.68;Actividades de atención a salud
CRCC 14TH BUREAU GROUP CO., LTD.;14853707.61;Construcción
CAJAMARCA PROTECTIVE SERVICES C. LTDA. CAJAPROTSERV;14752545.15;Actividades de servicios administrativos y de apoyo
JARDINES DEL VALLE JADEVAL CIA. LTDA.;14738433.91;Otras actividades de servicios
IC SERVICIOS DE SEGURIDAD PRIVADA DEL ECUADOR ICSSE CIA. LTDA;14687743.29;Actividades de servicios administrativos y de apoyo
PETROLI S.A.;14682970.2;Construcción
SUMEC COMPLETE EQUIPMENT & ENGINEERING CO., LTD.;14558725.68;Construcción
HP DRILLINGSERVICES S.A.S.;14547489.89;Minas y canteras
MEGAFRIO S.A.;14455675.9;Construcción
VISE-ECUADOR CIA.LTDA.;14313414.15;Actividades de servicios administrativos y de apoyo
PARADAIS S.A.;14228089.23;Información y comunicación
INESTRUCSUR INGENIERIA DE ESTRUCTURAS DE SUR AMERICA S.A.;14195585.03;Construcción
ECUASUEÑA S.A.;14118744.6;Actividades inmobiliarias
EFICACIAECUADOR S.A.;14095684.35;Actividades profesionales
FIDEVAL S.A. ADMINISTRADORA DE FONDOS Y FIDEICOMISOS;14061462.31;Financieras y seguros
NOKIA SOLUTIONS AND NETWORK ECUADOR S.A.;14038797;Información y comunicación
CONSTRUCTORA OVIEDO PALACIOS COVIPAL S.A.;14033322.57;Construcción
SECURITY DATA SEGURIDAD EN DATOS Y FIRMA DIGITAL S.A.;14012533.27;Información y comunicación
BANRED S.A.;13989408.73;Financieras y seguros
CORPORACION PARA LOS RECURSOS NATURALES CORENA S.A;13944853.83;Distribución de Agua Alcantarillado y gestión de desechos
EKRON CONSTRUCCIONES S.A.;13885899.18;Construcción
DRIL-QUIP VENEZUELA, S.C.A.;13869523.67;Minas y canteras
URBANIZADORA NACIONES UNIDAS SA;13804697.59;Actividades inmobiliarias
MEDISYSTEM HOLDING S.A.;13668475.05;Financieras y seguros
MANLIM MANTENIMIENTO Y LIMPIEZA S.A.;13631421.41;Actividades de servicios administrativos y de apoyo
PROMINE CIA. LTDA.;13569549.15;Minas y canteras
HOLDINGPESA S.A.;13519698.02;Financieras y seguros
INVERSIONES ABSA INVERABSAHOLD S.A.;13519698.02;Financieras y seguros
INTERFOODSERVICES S.A.;13514650;Financieras y seguros
PRICEWATERHOUSECOOPERS DEL ECUADOR CIA. LTDA.;13489646.47;Actividades profesionales
CNLC ECUADOR CORPORACION S.A..;13472742;Minas y canteras
TELECUATRO GUAYAQUIL CA;13453310.4;Información y comunicación
METALESA S.A.;13409569.99;Minas y canteras
ROAD TRACK ECUADOR S.A.;13379217.1;Información y comunicación
PLAN VITAL VITALPLAN S.A.;13338208.7;Financieras y seguros
GESTOR S.A.S.;13306481.97;Financieras y seguros
CINEMARK DEL ECUADOR S.A.;13255652.69;Información y comunicación
KLUANE DRILLING ECUADOR S.A.;13200839.4;Minas y canteras
AGRIPLAZA S.A.;13168659.49;Minas y canteras
DATA TOOLS S.A.S.;13149881.24;Información y comunicación
FERRICOMP S.A.;13100966.62;Actividades inmobiliarias
ACADEMIA NAVAL ALMIRANTE ILLINGWORTH SA ANAI;13073006.54;Enseñanza
HOMSI HOSPITAL MONTE SINAI S.A.;12981606.62;Actividades de atención a salud
OPTIMIZACION DE MEDIOS DIRECTOS OPMED S.A.;12955408.37;Actividades profesionales
ADECCOIBERIA S.A.;12949441.83;Actividades de servicios administrativos y de apoyo
DELLAIR SERVICES S.A.;12922854.08;Actividades profesionales
VENETIANCORP S.A.;12865538.89;Actividades inmobiliarias
BIODIMED S.A.;12752123.23;Actividades de atención a salud
CADMECORP ASOCIADOS S.A.;12721407.26;Construcción
AMERICAN CALL CENTER S.A. (AMERICALL);12579532.51;Actividades de servicios administrativos y de apoyo
MEDICAL CUBACENTER S.A.;12457361.49;Actividades de atención a salud
MINDSHARE DEL ECUADOR C. LTDA.;12447330.14;Actividades profesionales
RENALCENTRO S.A.;12417940.54;Actividades de atención a salud
AIFA S.A.;12407244.34;Actividades de servicios administrativos y de apoyo
GONZALO LEON SERRANO CONSTRUCTORES S.A.;12306850;Construcción
AMAZONASHOT (HOTELERIA, ORGANIZACIONES Y TURISMO) S.A.;12243920.12;Actividades de Alojamiento
PROCOPET PROYECTOS Y CONSTRUCCIONES PETROLERAS S.A.;12217355.61;Construcción
BUREAU VERITAS ECUADOR S.A.;12183506.27;Actividades profesionales
H.O.V. HOTELERA QUITO SA;12183287.34;Actividades de Alojamiento
COMPAÑIA DE ALQUILER Y SUMINISTRO PETROLERO R.S. ROTH S.A.;12165094.23;Actividades de servicios administrativos y de apoyo
GOFORCUSTOMER S.A.;12148000.66;Actividades de servicios administrativos y de apoyo
ECOELECTRIC S.A.;12107837.65;Suministro de Electricidad Gas Vapor y Aire acondicionado
OCEANSECURITY C. LTDA.;12093865.55;Actividades de servicios administrativos y de apoyo
CLINICA INTERNACIONAL INTERSANITAS SA;12092611.49;Actividades de atención a salud
LINCOLNCORP S.A.;12079482.47;Construcción
TACTICA PUBLICITARIA S.A. TACTISA;11932305.61;Actividades profesionales
MEDIKEN MEDICINA INTEGRAL KENNEDY SA;11913361.68;Financieras y seguros
CORPORACION AIDA MONTOYA & HIJAS CIA. LTDA.;11904439.08;Enseñanza
ELITENERGY GENERACION ELECTRICA S.A.;11873164.67;Suministro de Electricidad Gas Vapor y Aire acondicionado
"VEOLIA SERVICIOS AMBIENTALES ECUADOR ''VEOLIASERVICES"" S.A.";11742309.52;Distribución de Agua Alcantarillado y gestión de desechos
''PUENTES Y CALZADAS INFRAESTRUCTURAS, S.L.'';11741022.54;Construcción
C&CHOLDING CIA.LTDA.;11695387.99;Financieras y seguros
CONSTRUCTORA VELASTEGUI CERON & ASOCIADOS CIA. LTDA.;11634027.58;Actividades profesionales
INVERSION Y DESARROLLO INVEDE S.A.;11519448.7;Actividades inmobiliarias
CONSTRUCTORA CONALBA S.A.;11456534.12;Construcción
ASERTEC S.A.;11424658.41;Financieras y seguros
FIDUCIA S.A. ADMINISTRADORA DE FONDOS Y FIDEICOMISOS MERCANTILES;11386582.7;Financieras y seguros
SKANDINAR S.A.;11357795.51;Actividades de Alojamiento
TABACARCEN S.A. TABABELA CARGO CENTER;11355999.03;Actividades profesionales
CONSTRUCTORA VICENTE RODRIGUEZ CIA. LTDA.;11355111.85;Construcción
INMODIAMANTE S.A.;11354328.03;Actividades profesionales
SERVICIOS EXEQUIALES PREVISIVOS INTEGRADOS SEPREVI CIA. LTDA.;11346781.47;Otras actividades de servicios
MASTRAVELSA S.A.;11329760.94;Actividades de servicios administrativos y de apoyo
TECNOLOGIA TOTAL TECTOTAL CIA. LTDA;11308755.81;Construcción
SIMPLELIFE PRODUCTS S.A.;11272638.68;Actividades de servicios administrativos y de apoyo
RAPPIEC S.A.S.;11220539.02;Información y comunicación
EY ADDVALUE ASESORES CIA. LTDA.;11184856.81;Actividades profesionales
CENTRO DE DIALISIS CONTIGO S.A. DIALICON;11165916.22;Actividades de atención a salud
SERVICIOS INTEGRADORES DE MENSAJERIA DE TEXTO Y TECNOLOGIA MISIVACORP S.A.;11132374.64;Información y comunicación
ACCYEM PROYECTOS CIA. LTDA.;11015266.97;Actividades profesionales
HOTEL ORO VERDE S.A. HOTVER;10979453.01;Actividades de Alojamiento
MEDIANET S.A.;10943660.76;Financieras y seguros
DELTA SEGURIDAD PRIVADA DESEGRI CIA. LTDA.;10854087.44;Actividades de servicios administrativos y de apoyo
AXA ASSISTANCE PERU S.A.C.;10812665.47;Actividades profesionales
SERVICOSECHA S.A.;10789642.33;Actividades de servicios administrativos y de apoyo
ACCIONA AGUA S.A.;10768100.45;Distribución de Agua Alcantarillado y gestión de desechos
ASERLACO S.A.;10756592.48;Actividades de Alojamiento
INMOBILIARIA NUEVO MUNDO INMOMUNDO S.A.;10735558.4;Actividades inmobiliarias
PROCISA ECUADOR S.A.;10709221;Construcción
FTCLIVE S.A.S.;10665518.69;Actividades entretenimiento
SEGURIDAD MAXIMA SEGUMAX CIA. LTDA.;10645917.94;Actividades de servicios administrativos y de apoyo
ECUAMBIENTE CONSULTING GROUP CIA. LTDA;10644974.92;Actividades profesionales
ENERMAX S.A;10636669.27;Suministro de Electricidad Gas Vapor y Aire acondicionado
ZURITA & ZURITA LABORATORIOS CIA. LTDA.;10626821.2;Actividades de atención a salud
ECORESA ECOLOGIA & RECICLAJE S.A.;10600728.27;Distribución de Agua Alcantarillado y gestión de desechos
CIPORT & TECNAC CIPTE C.L.;10551890.95;Construcción
GRUBALUZON CIA. LTDA;10475598.83;Actividades profesionales
ECLIPSOFT S.A.;10447583.94;Información y comunicación
COMPAÑIA DE MEDICINA PREPAGADA INMEDICAL MEDICINA INTERNACIONAL S.A.;10402693.35;Financieras y seguros
SURGALARE S.A.;10324385.94;Distribución de Agua Alcantarillado y gestión de desechos
GEOFORCE S.A.;10303318.89;Construcción
VASERUM S.A.;10278793.28;Actividades de servicios administrativos y de apoyo
SERUVI S.A.;10186968.75;Actividades inmobiliarias
GRANSOLAR S.A.;10163926.72;Suministro de Electricidad Gas Vapor y Aire acondicionado
SERVICIOS HOSPITALARIOS S.A. ALBOTEOTON;10132753.37;Actividades de atención a salud
CTEC CONECTIVIDAD & TECNOLOGÍA S.A.;10118642.77;Información y comunicación
INTRICALMED S.A. INTRICALMEDSA;10031870.91;Actividades de atención a salud
VALKATISA S.A.;10031020.11;Actividades inmobiliarias
ANALYTIC NEWS MONITOREO DE MEDIOS S. A.;10010557.14;Información y comunicación
CHAVEZSOLUTIONS AMBIENTALES CIA. LTDA.;9979630.35;Actividades profesionales
ASESORIA JURIDICA ROMERO S.A. ASEROMER;9947685.71;Actividades profesionales
MEDICINA PREPAGADA CRUZBLANCA S.A.;9911361.18;Financieras y seguros
ARIADNAECU CIA. LTDA.;9890578.71;Información y comunicación
LIFE & HOPE SPECIALITY CARE S.A. CENTRO DE TRATAMIENTOS AMBULATORIOS;9847433.09;Actividades de atención a salud
MEDILINK S.A.;9810383.2;Actividades de atención a salud
AQUANATURISA S.A.S.;9789451.53;Actividades profesionales
VITALIA COMPANY HOLDING S.A.;9785782.12;Financieras y seguros
INMOBILIARIA NUEVO CARAPUNGO INMOCARAPUNGO S.A.;9739411.53;Actividades inmobiliarias
SICONTAC CENTER S.A.;9736110.94;Actividades de servicios administrativos y de apoyo
ENGIPETROL S.A.;9642974.25;Actividades profesionales
CATERING LAS PEÑAS CATERINGLASPEÑAS CIA.LTDA.;9624686.48;Actividades de Alojamiento
PROMOLUCKY S.A.;9584109.13;Actividades profesionales
CENTRO MEDICO AMBULATORIO METROAMBULAT S.A.;9565948.51;Actividades de atención a salud
CLEANSTAR S.A.;9511721.67;Actividades de servicios administrativos y de apoyo
INVESTMENT GROUP INVESTGROUP S.A.S.;9493231.76;Financieras y seguros
EMPROSERVIS CIA. LTDA.;9489262.39;Actividades profesionales
HELADERIAS TUTTO FREDDO S.A;9481932.64;Actividades de Alojamiento
COMPAÑIA ANDINA DE ALIMENTOS, VINOS Y ESPIRITOSOS CAVES S.A. E.M.A.;9451352.15;Actividades de Alojamiento
SECURITAS ECUADOR CIA. LTDA.;9415378.98;Actividades de servicios administrativos y de apoyo
MABECA- CORPORATION S.A.;9324818.58;Actividades profesionales
HYDRIAPAC S.A.;9323394.15;Distribución de Agua Alcantarillado y gestión de desechos
ASOCIACION MEDICA RENAL PORTOVIEJO ASMERP S.A.;9317000.08;Actividades de atención a salud
ECOLAB ECUADOR CIA. LTDA.;9299071;Distribución de Agua Alcantarillado y gestión de desechos
OLANDESEL S.A.;9235509.92;Actividades inmobiliarias
MEDISFARMACO S.A.;9216551.9;Actividades de atención a salud
ECUAPETSA PET DEL ECUADOR S.A.;9199759.33;Distribución de Agua Alcantarillado y gestión de desechos
DESINVEST S.A.;9185930.3;Actividades profesionales
GRUPO DE CONTROL DE RIESGOS CONTROLRISK CIA. LTDA.;9177667.55;Actividades de servicios administrativos y de apoyo
GENERADORA ROCAFUERTE S.A. GENEROCA;9132281.7;Suministro de Electricidad Gas Vapor y Aire acondicionado
AYESA INGENIERIA Y ARQUITECTURA, S.A.U.;9116146.5;Actividades profesionales
HOSPITAL CLINICA SAN AGUSTIN CIA. LTDA.;9097505.74;Actividades de atención a salud
INMOBILIARIA INTELCA C LTDA;9029457.2;Actividades de servicios administrativos y de apoyo
AEEQUS CORPORATION HOLDING S.A.;8916275.51;Financieras y seguros
HIDROSIGCHOS C.A.;8906918.96;Suministro de Electricidad Gas Vapor y Aire acondicionado
SERVICIOS MEDICOS ANGIOMANABI CIA. LTDA.;8864690.7;Actividades de atención a salud
EXPLODE FILMS EXPLOFILMS S.A.;8859312.33;Información y comunicación
SFM FACILITY SERVICIOS COMPLEMENTARIOS S.A.;8846206.67;Actividades de servicios administrativos y de apoyo
ECUASTOCK S.A.;8684247.41;Financieras y seguros
HOTEL COLON INTERNACIONAL CA;8652313.5;Actividades de Alojamiento
DELOITTE & TOUCHE ECUADOR CIA. LTDA.;8649081.1;Actividades profesionales
COMCONSULTING S.A.;8626496.79;Actividades profesionales
GRUPO MICROSISTEMAS JOVICHSA S. A.;8563154.44;Información y comunicación
BARKA CAPITAL S.A.;8536554.15;Financieras y seguros
CANEYBI CORP S.A.;8520536.92;Actividades inmobiliarias
GESTION EN INFORMACION Y TECNOLOGIA GESTIONTEC CIA LTDA.;8475084.53;Actividades profesionales
FIBRAS NACIONALES FIBRANAC S.A.;8473613.28;Distribución de Agua Alcantarillado y gestión de desechos
LICEO PANAMERICANO LPSA S.A.;8423270.25;Enseñanza
ENTRIX AMERICAS S.A.;8352605.81;Actividades profesionales
MONTANGELLO-VENTURE S.A.S.;8308753.07;Financieras y seguros
S.G.S. DEL ECUADOR SA;8291783.55;Actividades profesionales
GATEGOURMET DEL ECUADOR CIA. LTDA.;8216537.72;Actividades de Alojamiento
ROBALINO ABOGADOS ECUADOR FEREC S.A.;8192259.27;Actividades profesionales
EL CAFE DE TERE CAFEDETERE S.A.;8170742.77;Actividades de Alojamiento
BIOCELLS DISCOVERIES INTERNACIONAL S.A.;8110017.94;Actividades profesionales
CLINICA SANTA ANA CENTRO MEDICO QUIRURGICO S. A.;8085368.62;Actividades de atención a salud
DIALISIS Y SERVICIOS DIALILIFE S.A.;8052169.25;Actividades de atención a salud
PWC ASESORES EMPRESARIALES CIA. LTDA.;8021735.22;Actividades profesionales
ARTIC PUBLICIDAD S.A.;7971572.11;Actividades profesionales
ZUKALO S.A.;7879897.66;Información y comunicación
INTERCOMMERCE S.A.;7865125.85;Información y comunicación
EXPORECICLA S.A.;7859597.91;Distribución de Agua Alcantarillado y gestión de desechos
SERVICIO DE ADMINISTRACION DE BIENES DIBIENS S.A.;7782071.47;Actividades inmobiliarias
CORPORACIÓN GENUS S.A.S.;7767592.2;Actividades de Alojamiento
PROMOTORA HOTEL DANN CARLTON QUITO, PROMODANN CIA. LTDA.;7762154.74;Actividades de Alojamiento
TERMAS DE PAPALLACTA S.A.;7711993.12;Actividades de Alojamiento
NUOTECNOLOGICA CIA. LTDA.;7702037.35;Información y comunicación
COMPAÑIA SALUD PLENA S.A. PLENISALUD;7648312.33;Actividades de atención a salud
ENTERTAINMENT DISCOVERY DISCOVERMENT S.A.;7612491.17;Actividades entretenimiento
INMOBILIARIA MERIDIONAL S.A. INMERISA;7591152.25;Actividades inmobiliarias
IMPORPOINT S.A.;7581363.2;Actividades inmobiliarias
CENDIAVIA CENTRO MEDICO DE ESPECIALIDADES Y DE DIAGNOSTICO VIDA CIA. LTDA.;7577823.18;Actividades de atención a salud
CLINICA DE ESPECIALIDADES GEP COLONIAL CIA. LTDA.;7565343.52;Actividades de atención a salud
INMOBILIARIA COSTAZUL S.A. INMOCOSTAZUL;7514617.63;Actividades inmobiliarias
INCORAZON S.A.;7503725.31;Actividades de atención a salud
COMPAÑIA SCOLASTICOMP CIA. LTDA.;7497405.35;Enseñanza
RESTAURANTES DEL NORTE ''RESNORTE'' S.A.;7458634.32;Actividades de Alojamiento
LABORATORIO CLINICO ALCIVAR S.A. ALCLINIC;7381223.76;Actividades de atención a salud
HOSPITAL INGLES EMCI CIA. LTDA.;7362065.03;Actividades de atención a salud
EMECORP S.A.;7260490.18;Actividades inmobiliarias
PROMOCIONES EDUCATIVAS PROMOEDU S.A.;7208005.85;Enseñanza
EMPRESA HOTELERA LUCUPA S.A.;7203557.27;Actividades de Alojamiento
HOSPITAL SAN JUAN HOSPIESAJ S.A.;7172411.2;Actividades de atención a salud
IN.PLANET S.A.;7084577.13;Información y comunicación
INSTITUTO DE CIENCIAS CRITICAS MANABI ICCMANABI S.A.;7064608.57;Actividades de atención a salud
MACHALADENT S.A.;7022473.78;Actividades de atención a salud
NOVACLINICADELVALLE CIA.LTDA.;6998534.97;Actividades de atención a salud
GRUENTEC CIA. LTDA.;6979248.76;Actividades de atención a salud
GRUPDECO S.A.;6951674;Actividades inmobiliarias
CCCH CENTRO COMERCIAL LOS CHILLOS S.A.;6950403.49;Actividades inmobiliarias
COMPAÑIA DE NEGOCIOS Y PROPIEDADES GRAN CONDOR CONPROGRA CIA.LTDA.;6944115.22;Actividades de Alojamiento
NOVARED-NEGOCIOS Y RECICLAJES S.A.;6925470.98;Distribución de Agua Alcantarillado y gestión de desechos
INDUSTRIA ECUATORIANA DE PLASTICOS INPLASTIC S.A.;6920058.5;Actividades inmobiliarias
SECURESOFT ECUADOR S.A.;6902124.52;Información y comunicación
ESPOLTEL S.A.;6872756.37;Información y comunicación
CENTURIOSA S.A.;6851942.16;Otras actividades de servicios
SOCIEDAD DE HEMODIALISIS SOCIHEMOD CIA. LTDA.;6747150;Actividades de atención a salud
